HD 55     |4554| 88|4.54|0.21|0.06|1.63|-0.67|0.01|     |     | 4.531|3.824
HD 142    |6431|123|4.82|0.11|2.10|0.28| 0.05|0.08|1.230|0.033| 1.120|0.904
HD 283    |5135| 24|4.49|0.07|0.47|0.06|-0.55|0.01|0.717|0.015| 5.167|4.107
HD 361    |5888| 14|4.54|0.08|1.03|0.03|-0.13|0.01|1.029|0.011| 0.356|0.283
HD 750    |5069| 32|4.33|0.10|0.66|0.07|-0.30|0.02|0.752|0.017| 4.825|4.118
HD 870    |5360| 24|4.40|0.08|0.79|0.04|-0.12|0.02|0.859|0.016| 1.594|1.591
HD 967    |5595| 18|4.59|0.02|0.90|0.05|-0.66|0.01|0.764|0.018| 7.775|3.945
HD 1237   |5489| 40|4.46|0.11|1.04|0.06| 0.06|0.03|0.924|0.019| 1.765|1.696
HD 1320   |5699| 13|4.55|0.05|0.89|0.02|-0.26|0.01|0.912|0.021| 2.388|2.005
HD 1388   |5970| 15|4.42|0.05|1.13|0.02| 0.00|0.01|1.061|0.013| 3.005|0.802
HD 1461   |5740| 16|4.36|0.03|0.94|0.02| 0.18|0.01|1.050|0.016| 1.967|1.153
HD 1581   |5990| 15|4.49|0.07|1.24|0.03|-0.18|0.01|1.026|0.016| 2.191|1.052
HD 2025   |4851| 49|4.49|0.13|0.51|0.18|-0.37|0.02|0.706|0.008| 4.557|4.047
HD 2071   |5729| 13|4.49|0.02|0.93|0.02|-0.08|0.01|0.987|0.012| 0.872|0.591
HD 2638   |5169| 77|4.41|0.15|0.66|0.13| 0.12|0.05|0.852|0.026| 4.038|3.838
HD 3569   |5093| 26|4.43|0.06|0.39|0.08|-0.34|0.02|0.747|0.016| 4.980|4.193
HD 3823   |6054| 18|4.37|0.06|1.44|0.04|-0.26|0.01|1.014|0.022| 7.550|0.728
HD 4208   |5600| 16|4.41|0.07|0.88|0.03|-0.29|0.01|0.852|0.025| 5.685|3.913
HD 4307   |5840| 18|4.13|0.03|1.24|0.03|-0.21|0.01|0.994|0.010| 9.804|0.221
HD 4308   |5662| 13|4.44|0.06|0.89|0.03|-0.32|0.01|0.842|0.000|11.745|0.034
HD 4915   |5660| 13|4.50|0.07|0.90|0.02|-0.21|0.01|0.938|0.011| 0.409|0.350
HD 6348   |5080| 22|4.47|0.05|0.33|0.09|-0.59|0.01|0.706|0.010| 4.555|4.094
HD 6673   |4875| 49|4.39|0.12|0.38|0.18|-0.28|0.02|0.723|0.015| 4.620|4.048
HD 6735   |6111| 20|4.56|0.04|1.13|0.03|-0.04|0.01|1.112|0.008| 0.222|0.130
HD 7134   |5979| 16|4.49|0.05|1.25|0.03|-0.27|0.01|0.945|0.012| 7.567|1.074
HD 7199   |5292| 49|4.21|0.12|0.90|0.08| 0.25|0.03|0.908|0.027| 5.699|4.247
HD 7449   |6040| 15|4.53|0.05|1.17|0.02|-0.10|0.01|1.079|0.011| 0.571|0.428
HD 8326   |4834| 67|4.35|0.17|0.44|0.22| 0.04|0.03|0.780|0.018| 4.399|4.001
HD 8406   |5731| 10|4.52|0.03|0.87|0.02|-0.10|0.01|0.988|0.019| 0.818|0.877
HD 8638   |5508| 16|4.45|0.05|0.81|0.04|-0.40|0.01|0.795|0.017| 8.080|4.126
HD 8828   |5369| 18|4.40|0.04|0.72|0.03|-0.18|0.01|0.845|0.023| 3.202|3.290
HD 8859   |5495| 17|4.40|0.04|0.79|0.03|-0.09|0.01|0.889|0.027| 4.560|3.986
HD 8912   |5178| 30|4.40|0.08|0.70|0.06|-0.09|0.02|0.821|0.020| 3.699|3.590
HD 9246   |4976| 30|4.52|0.07|0.33|0.15|-0.56|0.02|0.701|0.003| 4.314|3.998
HD 9782   |6013| 18|4.38|0.07|1.08|0.03| 0.09|0.01|1.120|0.014| 1.164|0.827
HD 9796   |5139| 32|4.34|0.08|0.49|0.08|-0.25|0.02|0.776|0.018| 5.845|4.438
HD 10002  |5230| 44|4.28|0.09|0.72|0.08| 0.13|0.03|0.880|0.026| 4.984|4.229
HD 10166  |5187| 30|4.44|0.06|0.57|0.08|-0.39|0.02|0.754|0.016| 3.111|3.218
HD 10180  |5898| 13|4.39|0.05|1.08|0.02| 0.08|0.01|1.062|0.011| 3.206|0.759
HD 10647  |6222| 23|4.63|0.08|1.24|0.04| 0.01|0.01|     |     |      |
HD 10700  |5322| 17|4.46|0.06|0.56|0.05|-0.52|0.01|     |     |      |
HD 11226  |6112| 14|4.35|0.03|1.33|0.02| 0.05|0.01|1.136|0.007| 3.225|0.382
HD 11505  |5757| 15|4.39|0.03|0.99|0.03|-0.22|0.01|0.882|0.006|11.250|0.586
HD 11683  |4957| 40|4.35|0.12|0.71|0.09|-0.27|0.02|0.738|0.015| 4.491|4.015
HD 12345  |5386| 25|4.42|0.06|0.70|0.05|-0.22|0.02|0.833|0.024| 4.024|3.673
HD 12387  |5704| 15|4.42|0.05|0.93|0.03|-0.25|0.01|0.861|0.002|11.580|0.278
HD 12617  |4766| 86|4.31|0.24|0.19|0.67| 0.14|0.02|0.783|0.018| 4.410|3.999
HD 13060  |5189| 42|4.31|0.16|0.69|0.08| 0.01|0.03|0.844|0.022| 4.244|3.896
HD 13724  |5824| 19|4.42|0.04|0.96|0.03| 0.21|0.01|1.091|0.013| 0.613|0.485
HD 13789  |4667|104|4.29|0.26|0.30|0.62|-0.01|0.07|0.737|0.017| 4.506|3.993
HD 13808  |5033| 38|4.36|0.08|0.63|0.08|-0.21|0.02|0.769|0.017| 5.877|4.433
HD 14374  |5375| 18|4.42|0.04|0.78|0.03|-0.07|0.01|0.873|0.023| 3.443|3.116
HD 14635  |4685|102|4.27|0.27|0.51|0.32| 0.00|0.04|0.723|0.014| 4.271|3.944
HD 14680  |4913| 58|4.33|0.12|0.48|0.16|-0.18|0.03|0.758|0.018| 5.047|4.185
HD 14744  |4871| 49|4.38|0.13|0.51|0.15|-0.17|0.02|0.746|0.016| 4.794|4.116
HD 14747  |5547| 15|4.46|0.03|0.79|0.03|-0.37|0.01|0.798|0.012|10.343|1.664
HD 15337  |5088| 44|4.36|0.10|0.51|0.11| 0.06|0.03|0.829|0.021| 3.950|3.841
HD 16141  |5786| 15|4.17|0.03|1.10|0.02| 0.15|0.01|1.069|0.012| 7.017|0.229
HD 16270  |4583|114|4.23|0.34|0.16|1.08| 0.14|0.02|0.760|0.015| 4.464|4.005
HD 16297  |5379| 24|4.44|0.05|0.78|0.04|-0.03|0.02|0.869|0.024| 6.698|5.037
HD 16417  |5843| 12|4.16|0.03|1.18|0.02| 0.14|0.01|1.108|0.014| 6.211|0.330
HD 16714  |5541| 29|4.45|0.05|0.74|0.05|-0.18|0.02|0.878|0.029| 4.116|3.657
HD 17051  |6237| 32|4.46|0.14|1.31|0.05| 0.20|0.02|     |     |      |
HD 17970  |5038| 31|4.39|0.06|0.20|0.20|-0.45|0.02|0.723|0.014| 6.865|4.081
HD 18386  |5446| 30|4.37|0.05|0.89|0.04| 0.14|0.02|0.944|0.022| 2.019|1.985
HD 18719  |5211| 31|4.39|0.06|0.80|0.05|-0.09|0.02|0.826|0.021| 4.820|4.333
HD 19034  |5526| 18|4.49|0.03|0.71|0.04|-0.45|0.01|0.794|0.018| 7.522|4.422
HD 19467  |5718| 12|4.29|0.03|1.02|0.02|-0.15|0.01|0.898|0.008|11.649|0.194
HD 19994  |6315| 44|4.44|0.10|1.66|0.06| 0.27|0.03|1.314|0.015| 1.936|0.219
HD 20003  |5465| 18|4.37|0.07|0.80|0.03| 0.03|0.01|0.903|0.022| 6.092|3.983
HD 20407  |5885| 19|4.52|0.04|1.17|0.05|-0.43|0.01|0.868|0.015| 7.845|1.465
HD 20619  |5716| 13|4.51|0.05|0.97|0.02|-0.21|0.01|0.933|0.023| 2.281|2.150
HD 20781  |5236| 32|4.31|0.12|0.77|0.05|-0.12|0.02|0.824|0.021| 4.910|4.321
HD 20782  |5770| 12|4.35|0.03|1.01|0.02|-0.06|0.01|0.949|0.012| 7.378|1.292
HD 20794  |5398| 16|4.41|0.02|0.70|0.03|-0.41|0.01|     |     |      |
HD 20807  |5875| 14|4.50|0.08|1.15|0.03|-0.23|0.01|0.980|0.014| 1.404|0.924
HD 21019  |5468| 12|3.93|0.02|1.10|0.02|-0.45|0.01|1.023|0.016| 7.786|0.451
HD 21411  |5458| 22|4.51|0.03|0.81|0.04|-0.27|0.01|0.839|0.023| 3.416|3.174
HD 21693  |5418| 21|4.38|0.05|0.70|0.03| 0.00|0.01|0.908|0.021| 2.490|2.368
HD 21749  |4562|120|4.24|0.34|0.28|0.66| 0.02|0.07|0.722|0.014| 4.475|4.014
HD 21938  |5800| 20|4.41|0.04|1.14|0.04|-0.47|0.01|0.826|0.008|11.541|0.319
HD 22049  |5049| 48|4.45|0.09|0.83|0.10|-0.15|0.03|0.780|0.019| 3.578|3.322
HD 22610  |4981| 43|4.41|0.10|0.64|0.10|-0.22|0.02|0.750|0.017| 3.985|3.817
HD 22879  |5949| 33|4.68|0.05|1.63|0.15|-0.79|0.02|0.804|0.002|11.495|0.334
HD 23079  |6009| 14|4.50|0.05|1.20|0.02|-0.11|0.01|1.060|0.016| 1.425|0.960
HD 23249  |5027| 48|3.66|0.10|0.93|0.06| 0.07|0.03|1.095|0.016| 7.691|0.372
HD 23356  |4919| 66|4.45|0.14|0.52|0.18|-0.15|0.03|0.756|0.017| 4.371|4.407
HD 23456  |6190| 24|4.61|0.10|1.48|0.06|-0.31|0.02|0.991|0.014| 6.123|0.540
HD 24331  |4948| 51|4.56|0.12|0.46|0.18|-0.30|0.02|0.730|0.015| 4.383|3.931
HD 24892  |5360| 14|3.99|0.03|0.94|0.02|-0.33|0.01|0.938|0.012|11.454|0.344
HD 25105  |5306| 31|4.42|0.11|0.74|0.05|-0.15|0.02|0.835|0.023| 3.250|3.356
HD 25120  |5104| 25|4.37|0.12|0.85|0.05|-0.21|0.01|0.779|0.017| 3.184|3.387
HD 25565  |5145| 67|4.41|0.14|0.73|0.12| 0.00|0.04|0.817|0.022| 3.666|3.632
HD 25673  |5116| 28|4.45|0.08|0.48|0.08|-0.51|0.02|0.721|0.016| 4.615|4.083
HD 27063  |5759| 15|4.44|0.05|0.92|0.02| 0.05|0.01|1.028|0.013| 0.730|0.612
HD 27894  |4833|209|4.30|0.48|0.33|0.85| 0.26|0.10|0.821|0.021| 4.479|4.061
HD 28185  |5621| 22|4.36|0.05|0.92|0.03| 0.19|0.01|0.989|0.017| 5.698|2.465
HD 28471  |5727| 16|4.36|0.02|0.97|0.02|-0.07|0.01|0.942|0.020| 6.432|2.594
HD 28701  |5718| 14|4.47|0.06|0.99|0.03|-0.32|0.01|0.842|0.004|11.541|0.304
HD 28821  |5663| 12|4.37|0.02|0.94|0.02|-0.12|0.01|0.889|0.013| 9.944|2.016
HD 30278  |5374| 16|4.37|0.03|0.72|0.03|-0.19|0.01|0.812|0.010|10.933|0.911
HD 30306  |5520| 23|4.32|0.07|0.81|0.03| 0.18|0.02|0.951|0.020| 6.596|2.387
HD 31527  |5917| 13|4.47|0.05|1.15|0.02|-0.17|0.01|0.980|0.018| 4.792|1.990
HD 31560  |4655| 78|4.36|0.23|0.08|1.23| 0.00|0.12|0.730|0.019| 4.376|4.068
HD 31822  |6061| 19|4.61|0.04|1.25|0.04|-0.19|0.01|1.050|0.013| 0.733|0.654
HD 32724  |5834| 16|4.28|0.03|1.15|0.03|-0.16|0.01|0.948|0.009|10.645|0.397
HD 33725  |5240| 28|4.35|0.08|0.63|0.06|-0.19|0.02|0.808|0.020| 5.068|4.139
HD 34449  |5861| 17|4.45|0.05|0.98|0.03|-0.09|0.01|1.028|0.012| 0.417|0.363
HD 34688  |5104| 32|4.34|0.08|0.54|0.08|-0.22|0.02|0.775|0.018| 4.140|3.886
HD 35854  |4808| 56|4.35|0.16|0.16|0.42|-0.14|0.02|0.748|0.015| 4.807|4.047
HD 36003  |4568|110|4.34|0.28|0.24|0.60|-0.13|0.02|0.702|0.005| 3.793|3.927
HD 36108  |5924| 14|4.36|0.06|1.22|0.03|-0.20|0.01|0.969|0.009| 9.470|0.320
HD 36379  |6039| 15|4.35|0.04|1.39|0.03|-0.18|0.01|1.070|0.029| 6.721|0.808
HD 37962  |5732| 16|4.47|0.06|0.88|0.03|-0.19|0.01|0.936|0.025| 2.896|2.583
HD 37986  |5479| 39|4.29|0.09|0.93|0.06| 0.24|0.03|0.958|0.028| 3.881|3.188
HD 38277  |5882| 11|4.35|0.06|1.12|0.02|-0.06|0.01|1.009|0.008| 7.786|0.314
HD 38382  |6110| 19|4.46|0.05|1.19|0.03| 0.04|0.01|1.134|0.005| 0.302|0.195
HD 38858  |5719| 11|4.49|0.02|0.97|0.02|-0.23|0.01|0.933|0.017| 2.010|1.358
HD 38973  |6015| 12|4.43|0.04|1.14|0.02| 0.05|0.01|1.114|0.012| 0.442|0.310
HD 39091  |5991| 20|4.40|0.05|1.09|0.03| 0.09|0.01|1.115|0.014| 0.771|0.491
HD 39194  |5173| 18|4.51|0.05|0.39|0.07|-0.63|0.01|0.709|0.012| 6.849|3.955
HD 40105  |5064| 30|3.69|0.06|0.91|0.04| 0.02|0.02|1.073|0.015| 8.202|0.376
HD 40307  |4774| 77|4.42|0.16|0.10|0.59|-0.36|0.02|0.706|0.008| 5.515|3.946
HD 40397  |5498| 13|4.35|0.02|0.82|0.02|-0.14|0.01|0.843|0.005|11.245|0.655
HD 44120  |6059| 22|4.25|0.04|1.27|0.03| 0.14|0.02|1.218|0.009| 3.377|0.153
HD 44420  |5772| 22|4.30|0.03|0.99|0.03| 0.28|0.02|1.069|0.016| 1.335|1.096
HD 44447  |6004| 14|4.41|0.03|1.32|0.03|-0.22|0.01|0.985|0.012| 8.043|0.332
HD 44573  |4990| 52|4.42|0.11|0.61|0.12|-0.07|0.03|0.784|0.019| 4.200|3.899
HD 44594  |5828| 17|4.37|0.03|1.05|0.02| 0.15|0.01|1.080|0.011| 0.560|0.425
HD 45184  |5869| 11|4.47|0.03|1.02|0.02| 0.05|0.01|1.061|0.007| 0.373|0.242
HD 45289  |5731| 18|4.34|0.02|0.96|0.03| 0.00|0.01|0.953|0.011| 9.441|0.575
HD 45364  |5428| 16|4.37|0.05|0.77|0.03|-0.18|0.01|0.858|0.023| 3.387|3.143
HD 47186  |5643| 22|4.34|0.04|0.90|0.03| 0.22|0.02|0.999|0.015| 5.590|1.723
HD 48611  |5330| 17|4.48|0.06|0.60|0.05|-0.36|0.01|0.781|0.019| 5.316|4.378
HD 50590  |4760|103|4.33|0.24|0.09|0.87|-0.21|0.02|0.730|0.016| 4.700|4.093
HD 50806  |5598| 17|4.10|0.04|1.03|0.02| 0.01|0.01|0.980|0.011|11.010|0.273
HD 51608  |5323| 23|4.36|0.04|0.68|0.04|-0.08|0.02|0.839|0.018| 8.507|4.008
HD 52265  |6167| 24|4.44|0.04|1.28|0.03| 0.24|0.02|1.212|0.010| 0.393|0.254
HD 52919  |4628|100|4.43|0.28|0.26|0.53|-0.09|0.05|0.706|0.010| 4.408|4.010
HD 55693  |5908| 61|4.38|0.09|0.95|0.08| 0.35|0.05|1.103|0.025| 1.462|1.248
HD 59468  |5582| 16|4.36|0.03|0.86|0.02| 0.01|0.01|0.915|0.014| 8.418|1.338
HD 63454  |4756| 77|4.32|0.22|0.31|0.42| 0.13|0.05|0.764|0.017| 4.300|4.035
HD 63765  |5445| 17|4.41|0.07|0.80|0.03|-0.15|0.01|0.874|0.021| 2.726|2.482
HD 65216  |5614| 16|4.46|0.06|0.81|0.03|-0.17|0.01|0.917|0.023| 2.142|2.137
HD 65277  |4701| 57|4.30|0.16|0.30|0.37|-0.30|0.04|0.703|0.006| 4.786|4.095
HD 65562  |5018| 39|4.35|0.10|0.41|0.13|-0.13|0.02|0.783|0.018| 5.835|4.371
HD 66221  |5590| 22|4.34|0.04|0.88|0.03| 0.16|0.02|0.974|0.023| 4.993|3.140
HD 66428  |5671| 28|4.30|0.04|0.94|0.04| 0.23|0.02|1.014|0.019| 4.753|2.822
HD 67458  |5903| 13|4.54|0.02|1.09|0.02|-0.15|0.01|1.019|0.013| 0.783|0.584
HD 68607  |5155| 47|4.38|0.09|0.70|0.09| 0.06|0.03|0.849|0.023| 4.577|4.095
HD 69655  |5977| 14|4.49|0.06|1.20|0.03|-0.18|0.01|0.998|0.014| 4.590|0.884
HD 69830  |5370| 24|4.38|0.04|0.67|0.04|-0.07|0.02|0.868|0.028| 4.264|4.179
HD 70642  |5659| 24|4.43|0.06|0.81|0.04| 0.17|0.02|1.021|0.015| 0.859|0.747
HD 70889  |6069| 18|4.55|0.08|1.07|0.03| 0.13|0.01|1.138|0.008| 0.192|0.087
HD 71334  |5706| 11|4.41|0.05|0.94|0.02|-0.08|0.01|0.965|0.022| 2.663|2.008
HD 71479  |5991| 15|4.38|0.04|1.13|0.02| 0.24|0.01|1.146|0.013| 1.291|0.776
HD 71835  |5431| 16|4.39|0.03|0.76|0.03|-0.04|0.01|0.888|0.025| 4.364|3.686
HD 72579  |5419| 32|4.28|0.06|0.81|0.05| 0.18|0.02|0.918|0.020| 8.231|3.106
HD 72673  |5230| 20|4.43|0.07|0.67|0.04|-0.43|0.01|0.750|0.015| 7.070|3.759
HD 72769  |5587| 24|4.30|0.05|0.86|0.03| 0.29|0.02|0.975|0.015| 6.981|1.423
